week_end_date,index_level,weekly_return,log_volume,log_volume_adj,log_trading_days,realized_volatility,volume_momentum,lag_lv_1,lag_lv_2,lag_lv_3,lag_lv_4,cumulative_4w_return,interest_rate_direction,macro_shock_score,macro_shock_abs,macro_neg_shock,macro_neg_lag1,macro_neg_lag2,macro_neg_lag3,macro_pos_shock,macro_pos_lag1,macro_pos_lag2,macro_pos_lag3,d_geo,d_mp,d_trade,d_corporate,trading_days,new_accounts
2023-04-28,6915.7158203125,0.013672065127782063,32.009900714925664,30.911288426257556,1.0986122886681098,0.01488384062375508,0.2841787794945283,30.627109646763028,30.53589889816409,30.832763496064597,30.613498332217475,0.016098157395863198,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,3,39556.0
2023-05-05,6787.630859375,-0.01869451225630337,32.05221487159941,30.665920510479523,1.3862943611198906,0.012366819577051361,-0.24536791577803285,30.911288426257556,30.627109646763028,30.53589889816409,30.832763496064597,-0.0007561307622911996,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,29210.0
2023-05-12,6707.76318359375,-0.011836424781110135,32.25475037611453,30.645312463680426,1.6094379124341003,0.012384797729833566,-0.020608046799097224,30.665920510479523,30.911288426257556,30.627109646763028,30.53589889816409,-0.01638485140618858,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,36718.0
2023-05-19,6700.56103515625,-0.001074280277334304,32.01569906950574,30.629404708385852,1.3862943611198906,0.009176122072325339,-0.01590775529457389,30.645312463680426,30.665920510479523,30.911288426257556,30.627109646763028,-0.017933152186965746,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,24077.0
2023-05-26,6687.0009765625,-0.0020257703709058877,32.25072680614762,30.641288893713515,1.6094379124341003,0.009062352674334011,0.011884185327662777,30.629404708385852,30.645312463680426,30.665920510479523,30.911288426257556,-0.033630987685653695,0.0,2.0,2.0,0.0,-0.0,-0.0,-0.0,2.0,0.0,0.0,0.0,0,0,0,0,5,31960.0
2023-06-02,6633.26123046875,-0.008068915886106918,32.268547289341164,31.169935000673053,1.0986122886681098,0.006040575458513408,0.5286461069595383,30.641288893713515,30.629404708385852,30.645312463680426,30.665920510479523,-0.023005391315457244,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,2.0,0.0,0.0,0,0,0,0,3,30779.0
2023-06-09,6694.02392578125,0.009118603770981743,32.36550467979033,30.75606676735623,1.6094379124341003,0.008255878788079226,-0.41386823331682265,31.169935000673053,30.641288893713515,30.629404708385852,30.645312463680426,-0.0020503627633653657,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,2.0,0.0,0,0,0,0,5,24479.0
2023-06-16,6698.546875,0.0006754415500930382,32.23534020072705,30.625902288292952,1.6094379124341003,0.0066957571223561505,-0.13016447906327855,30.75606676735623,31.169935000673053,30.641288893713515,30.629404708385852,-0.0003006409359380236,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,5,25533.0
2023-06-23,6639.73291015625,-0.008818880240493057,32.05578538758913,30.446347475155033,1.6094379124341003,0.011342628359593883,-0.1795548131379192,30.625902288292952,30.75606676735623,31.169935000673053,30.641288893713515,-0.007093750805525193,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,20457.0
2023-06-30,6661.87890625,0.003329824514775742,31.07046468478303,30.377317504223086,0.6931471805599453,0.004166969370643316,-0.06902997093194685,30.446347475155033,30.625902288292952,30.75606676735623,31.169935000673053,0.004304989595357467,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,19912.0
2023-07-07,6716.458984375,0.008159515986051226,32.16312728468129,30.553689372247185,1.6094379124341003,0.012194278156154198,0.17637186802409843,30.377317504223086,30.446347475155033,30.625902288292952,30.75606676735623,0.0033459018104269496,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,21945.0
2023-07-14,6869.57177734375,0.022540693221058512,32.11521935526293,30.505781442828827,1.6094379124341003,0.009754513354473663,-0.04790792941835775,30.553689372247185,30.377317504223086,30.446347475155033,30.625902288292952,0.025211153481392422,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,20636.0
2023-07-21,6880.8017578125,0.0016334076942500907,31.98508906461934,30.59879470349945,1.3862943611198906,0.008871783482871569,0.09301326067062377,30.505781442828827,30.553689372247185,30.377317504223086,30.446347475155033,0.035663441416135575,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,22047.0
2023-07-28,6900.22998046875,0.002819561829084669,32.244182813265695,30.6347449008316,1.6094379124341003,0.010489541991327032,0.03595019733214855,30.59879470349945,30.505781442828827,30.553689372247185,30.377317504223086,0.0351531787304445,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,23107.0
2023-08-04,6852.841796875,-0.00689131444965661,32.38845782225667,30.77901990982257,1.6094379124341003,0.014054920460875796,0.14427500899097012,30.6347449008316,30.59879470349945,30.505781442828827,30.553689372247185,0.02010234829473666,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,24803.0
2023-08-11,6879.97900390625,0.00395217308195756,32.44220564109576,30.832767728661658,1.6094379124341003,0.006958407769514256,0.053747818839088524,30.77901990982257,30.6347449008316,30.59879470349945,30.505781442828827,0.00151382815563571,0.0,2.0,2.0,0.0,-0.0,-0.0,-0.0,2.0,0.0,0.0,0.0,0,0,0,0,5,22273.0
2023-08-18,6859.912109375,-0.002920970571524884,32.08487434542643,30.69857998430654,1.3862943611198906,0.008707161351755397,-0.13418774435511693,30.832767728661658,30.77901990982257,30.6347449008316,30.59879470349945,-0.0030405501101392644,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,2.0,0.0,0.0,0,0,0,0,4,20935.0
2023-08-25,6895.44287109375,0.005166110331814681,32.2820057247289,30.672567812294794,1.6094379124341003,0.008658612296696134,-0.02601217201174677,30.69857998430654,30.832767728661658,30.77901990982257,30.6347449008316,-0.0006940016074092519,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,2.0,0.0,0,0,0,0,5,22769.0
2023-09-01,6977.65380859375,0.011851989752703187,32.33172516366824,30.72228725123414,1.6094379124341003,0.00622768845474691,0.04971943893934494,30.672567812294794,30.69857998430654,30.832767728661658,30.77901990982257,0.018049302594950543,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,5,24865.0
2023-09-08,6924.77978515625,-0.0076064781054406986,32.236592014031096,30.627154101596997,1.6094379124341003,0.007929560842209707,-0.09513314963714237,30.72228725123414,30.672567812294794,30.69857998430654,30.832767728661658,0.006490651407552286,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,28704.0
2023-09-15,6982.791015625,0.008342444233714389,32.5353358835613,30.925897971127203,1.6094379124341003,0.008521627783227582,0.29874386953020604,30.627154101596997,30.72228725123414,30.672567812294794,30.69857998430654,0.01775406621279156,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,22091.0
2023-09-22,7016.84423828125,0.004864882434479245,32.32504767049916,30.71560975806506,1.6094379124341003,0.012363724401132646,-0.2102882130621424,30.925897971127203,30.627154101596997,30.72228725123414,30.672567812294794,0.017452838315456125,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,25554.0
2023-09-29,6939.89208984375,-0.01102735287457188,32.17074044274397,30.78444608162408,1.3862943611198906,0.011285293596342888,0.06883632355901881,30.71560975806506,30.925897971127203,30.627154101596997,30.72228725123414,-0.005426504311818943,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,21011.0
2023-10-06,6888.51806640625,-0.007430248193981795,32.26962989013467,30.660191977700563,1.6094379124341003,0.009742251672808372,-0.12425410392351566,30.78444608162408,30.71560975806506,30.925897971127203,30.627154101596997,-0.005250274400360039,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,28094.0
2023-10-13,6926.77978515625,0.005539050549175121,32.265559798095794,30.656121885661694,1.6094379124341003,0.004670452786423291,-0.004070092038869433,30.660191977700563,30.78444608162408,30.71560975806506,30.925897971127203,-0.008053668084899306,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,26739.0
2023-10-20,6849.16796875,-0.011267847258474538,32.410422915171566,30.80098500273747,1.6094379124341003,0.014843400581802585,0.1448631170757757,30.656121885661694,30.660191977700563,30.78444608162408,30.71560975806506,-0.02418639777785309,0.25,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,28698.0
2023-10-27,6758.79296875,-0.013282861287269515,32.13927121906698,30.529833306632877,1.6094379124341003,0.029107354910060605,-0.27115169610459233,30.80098500273747,30.656121885661694,30.660191977700563,30.78444608162408,-0.026441906190550726,0.25,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,25175.0
2023-11-03,6788.85009765625,0.004437255702078063,32.32968370897733,30.72024579654323,1.6094379124341003,0.026869874943897167,0.1904124899103543,30.529833306632877,30.80098500273747,30.656121885661694,30.660191977700563,-0.01457440229449087,0.25,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,28070.0
2023-11-10,6809.26318359375,0.003002343170560876,32.48257180132048,30.873133888886382,1.6094379124341003,0.018525427823629644,0.15288809234315082,30.72024579654323,30.529833306632877,30.80098500273747,30.656121885661694,-0.017111109673105113,0.25,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,24804.0
